iter	Passed	Remaining
0	0	68
1	1	60
2	1	57
3	2	52
4	2	52
5	3	52
6	4	53
7	4	53
8	5	52
9	5	51
10	6	51
11	6	50
12	7	49
13	7	48
14	8	47
15	8	47
16	9	46
17	10	46
18	10	46
19	11	45
20	12	45
21	13	46
22	13	45
23	14	45
24	14	44
25	15	44
26	16	44
27	17	44
28	17	43
29	18	42
30	18	42
31	19	41
32	20	40
33	20	39
34	21	39
35	21	38
36	22	38
37	22	37
38	23	36
39	24	36
40	24	35
41	25	34
42	25	33
43	26	33
44	26	32
45	27	31
46	27	31
47	28	30
48	29	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	33	25
57	34	24
58	34	24
59	35	23
60	36	23
61	36	22
62	37	21
63	37	21
64	38	20
65	38	20
66	39	19
67	40	18
68	40	18
69	41	17
70	42	17
71	42	16
72	43	16
73	43	15
74	46	15
75	51	16
76	52	15
77	53	15
78	54	14
79	55	13
80	56	13
81	57	12
82	58	11
83	59	11
84	70	12
85	71	11
86	72	10
87	73	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	77	4
94	78	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
